"","0","numtombo","1","familia","2","genero","3","sp","4","autorsp","5","taxoncompleto","6","pais","7","estado_prov","8","cidade","9","10","latitude","11","longitude","12","numcoleta","13","diacoleta","14","mescoleta","15","anocoleta"
"42",5712,5712,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15444,-40.15444,NULL,NULL,11,11,8,8,2012,2012
"43",5652,5652,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.25944,-14.25944,-39.42583,-39.42583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"44",5626,5626,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80500,-22.80500,-41.98278,-41.98278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"45",636370,636370,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,Niterói,Niterói,Brasil,-22.94028,-22.94028,-43.11556,-43.11556,8112,8112,9,9,10,10,2015,2015
"46",5631,5631,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80278,-22.80278,-41.96472,-41.96472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"47",5699,5699,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67639,-19.67639,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"48",5705,5705,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"49",5619,5619,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.88306,-22.88306,-42.00028,-42.00028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50",5717,5717,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.05694,-19.05694,-40.14722,-40.14722,7538,7538,11,11,8,8,2012,2012
"51",5603,5603,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-23.11500,-23.11500,-43.01944,-43.01944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"52",464328,464328,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,Aracruz,Aracruz,Brasil,-19.67528,-19.67528,-40.15111,-40.15111,6877,6877,2,2,4,4,2008,2008
"53",5648,5648,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.25944,-14.25944,-39.42500,-39.42500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54",466347,466347,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Itamaraju,Itamaraju,Brasil,-16.96833,-16.96833,-39.57944,-39.57944,6884,6884,29,29,5,5,2008,2008
"55",557428,557428,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Ubatã,Ubatã,Brasil,-14.21333,-14.21333,-39.55250,-39.55250,7596,7596,13,13,10,10,2012,2012
"56",546891,546891,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,Saquarema,Saquarema,Brasil,-22.92861,-22.92861,-42.46111,-42.46111,223,223,15,15,5,5,2012,2012
"57",5692,5692,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67972,-19.67972,-40.15222,-40.15222,NULL,NULL,11,11,8,8,2012,2012
"58",5650,5650,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.26083,-14.26083,-39.42639,-39.42639,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"59",5706,5706,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"60",5628,5628,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80306,-22.80306,-41.98444,-41.98444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"61",5623,5623,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.88278,-22.88278,-42.00000,-42.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"62",612257,612257,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,Cabo Frio,Cabo Frio,Brasil,-22.80472,-22.80472,-41.98278,-41.98278,7924,7924,5,5,11,11,2014,2014
"63",557437,557437,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Pau Brasil,Pau Brasil,Brasil,-15.56417,-15.56417,-39.62917,-39.62917,7605,7605,16,16,10,10,2012,2012
"64",483782,483782,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.56500,-15.56500,-39.65917,-39.65917,134,134,26,26,2,2,2005,2005
"65",483784,483784,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Pau Brasil,Pau Brasil,Brasil,-15.57222,-15.57222,-39.65250,-39.65250,132,132,26,26,2,2,2005,2005
"66",612206,612206,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Potiraguá,Potiraguá,Brasil,-15.73889,-15.73889,-39.58444,-39.58444,7910,7910,2,2,11,11,2014,2014
"67",5606,5606,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-114.40250,-114.40250,-42.46139,-42.46139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68",470044,470044,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Alagoas,Alagoas,Coruripe,Coruripe,Brasil,-10.02667,-10.02667,-36.29861,-36.29861,6960,6960,29,29,7,7,2008,2008
"69",5640,5640,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21361,-14.21361,-39.55250,-39.55250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"70",5691,5691,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67972,-19.67972,-40.15194,-40.15194,NULL,NULL,11,11,8,8,2012,2012
"71",5637,5637,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21389,-14.21389,-39.55222,-39.55222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"72",5700,5700,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67639,-19.67639,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"73",612201,612201,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Potiraguá,Potiraguá,Brasil,-15.73889,-15.73889,-39.58444,-39.58444,7905,7905,2,2,11,11,2014,2014
"74",5714,5714,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15444,-40.15444,NULL,NULL,11,11,8,8,2012,2012
"75",557427,557427,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Ubatã,Ubatã,Brasil,-14.21389,-14.21389,-39.55222,-39.55222,7595,7595,13,13,10,10,2012,2012
"76",5713,5713,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Espírito Santo,Espírito Santo,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15444,-40.15444,NULL,NULL,11,11,8,8,2012,2012
